name,matches,innings_batted,not_outs,runs_scored,balls_faced,fours,sixes,high_score,centuries,fifties,innings_bowled,balls_bowled,runs_conceded,wickets,5_wickets,best_bowling_wickets,best_bowling_runs,dismissals,batting_avg,batting_sr,bowling_economy,bowling_avg,identifier,unique_name,key_bcci,key_bcci_2,key_bigbash,key_cricbuzz,key_cricheroes,key_crichq,key_cricinfo,key_cricinfo_2,key_cricinfo_3,key_cricingif,key_cricketarchive,key_cricketarchive_2,key_cricketworld,key_nvplay,key_nvplay_2,key_opta,key_opta_2,key_pulse,key_pulse_2,catches,stumpings,run_outs_involved
AA Kazi,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,10.5,0.0,16605a1b,AA Kazi,e0cJh1QiOIJeILJAVUCzKyiJGOXbiii,,,,,,422106.0,,,,,,,,,,,,,0,0,0
AA Kulkarni,2.0,2.0,0.0,9.0,8.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,2.0,4.5,112.5,0.0,0.0,2d140b79,AA Kulkarni,,,,,,,1403153.0,,,,,,,,,,,,,0,0,0
AA Noffke,1.0,1.0,0.0,9.0,10.0,1.0,0.0,9.0,0.0,0.0,1.0,24.0,40.0,1.0,0.0,1.0,40.0,1.0,9.0,90.0,10.0,40.0,b69e69ed,AA Noffke,,,,,,,6938.0,,,,,,,,,,,,,0,0,0
AB Agarkar,42.0,19.0,9.0,179.0,154.0,13.0,5.0,39.0,0.0,0.0,42.0,782.0,1151.0,29.0,0.0,3.0,25.0,10.0,17.9,116.23,8.83,39.69,fa463154,AB Agarkar,,,,,,,26184.0,,,,7111.0,,,,,,,47.0,,5,0,3
AB Barath,3.0,3.0,1.0,42.0,42.0,5.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,2.0,21.0,100.0,0.0,0.0,d3a3e82d,AB Barath,,,,,,,274926.0,,,,158039.0,,,,,,,398.0,,0,0,0
AB Dinda,76.0,16.0,6.0,26.0,48.0,2.0,0.0,7.0,0.0,0.0,75.0,1516.0,2073.0,69.0,0.0,4.0,18.0,10.0,2.6,54.17,8.2,30.04,66b30f71,AB Dinda,UG1IAQOiiJIiibeCJezyXOihcJJKV0L,,,,,,227712.0,,,,,,,,,,,48.0,,7,0,5
AB McDonald,10.0,9.0,4.0,123.0,100.0,9.0,4.0,33.0,0.0,0.0,10.0,186.0,261.0,11.0,0.0,2.0,25.0,5.0,24.6,123.0,8.42,23.73,16043342,AB McDonald,,,,,,,6553.0,,,,9179.0,,,,,,,234.0,,0,0,0
AB de Villiers,170.0,170.0,40.0,5181.0,3411.0,414.0,253.0,133.0,3.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,130.0,39.85,151.89,0.0,0.0,c4487b84,AB de Villiers,,,3241.0,,,,44936.0,,,,45848.0,,,,,,,233.0,,120,8,20
AC Blizzard,7.0,7.0,0.0,120.0,90.0,21.0,2.0,51.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,7.0,17.14,133.33,0.0,0.0,1efb8a28,AC Blizzard,,,,,,,4498.0,,,,,,,,,,,205.0,,4,0,0
AC Gilchrist,80.0,80.0,4.0,2069.0,1495.0,239.0,92.0,109.0,2.0,11.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,76.0,27.22,138.39,0.0,0.0,2b6e6dec,AC Gilchrist,,,,,,,5390.0,,,,4170.0,,,,,,,65.0,,51,16,20
AC Thomas,15.0,4.0,2.0,20.0,19.0,1.0,1.0,12.0,0.0,0.0,15.0,315.0,406.0,14.0,0.0,3.0,22.0,2.0,10.0,105.26,7.73,29.0,b552a935,AC Thomas,,,,,,,47569.0,,,,,,,,,,,216.0,,3,0,1
AC Voges,8.0,7.0,3.0,181.0,143.0,15.0,3.0,45.0,0.0,0.0,7.0,54.0,76.0,0.0,0.0,0.0,5.0,4.0,45.25,126.57,8.44,0.0,864c199e,AC Voges,,,,,,,8119.0,,,,12201.0,,,,,,,400.0,,1,0,3
AD Hales,6.0,6.0,0.0,148.0,118.0,13.0,6.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,6.0,24.67,125.42,0.0,0.0,92aeac25,AD Hales,,,4150.0,,,,249866.0,,,11252.0,113074.0,,,,,,,511.0,,2,0,0
AD Mascarenhas,13.0,11.0,2.0,79.0,78.0,5.0,1.0,27.0,0.0,0.0,13.0,308.0,356.0,19.0,1.0,5.0,25.0,9.0,8.78,101.28,6.94,18.74,3edb58fc,AD Mascarenhas,,,,,,,16932.0,,,,,,,,,,,188.0,,3,0,0
AD Mathews,46.0,42.0,11.0,724.0,575.0,44.0,29.0,65.0,0.0,1.0,44.0,791.0,1079.0,27.0,0.0,4.0,19.0,31.0,23.35,125.91,8.18,39.96,896d78ad,AD Mathews,,,,,,,49764.0,,,,60694.0,,,,,,,217.0,,19,0,3
AD Nath,10.0,10.0,0.0,90.0,98.0,7.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,10.0,9.0,91.84,0.0,0.0,f10e94c4,AD Nath,bhJA10JOJGCiIieiLXUyciOeIizQJKV,,,,,,500360.0,,,,,,,,,,,3177.0,,2,0,0
AD Russell,134.0,114.0,20.0,2655.0,1525.0,187.0,223.0,88.0,0.0,12.0,121.0,1806.0,2863.0,123.0,1.0,5.0,15.0,94.0,28.24,174.1,9.51,23.28,bbd41817,AD Russell,,,,,,,276298.0,,,,158041.0,,,,,,,177.0,,41,0,4
AF Milne,10.0,6.0,2.0,23.0,29.0,0.0,1.0,15.0,0.0,0.0,10.0,207.0,327.0,7.0,0.0,2.0,21.0,4.0,5.75,79.31,9.48,46.71,350bb1b1,AF Milne,,,4881.0,7625.0,,,450860.0,,,,921071.0,,,29490c43-d6cd-4419-84e9-c4d9f7cb1398,,,,434.0,,7,0,0
AG Murtaza,12.0,3.0,2.0,10.0,14.0,1.0,0.0,5.0,0.0,0.0,12.0,264.0,313.0,9.0,0.0,3.0,15.0,1.0,10.0,71.43,7.11,34.78,ef5da05c,AG Murtaza,,,,,,,26490.0,,,,,,,,,,,114.0,,3,0,1
AG Paunikar,5.0,5.0,0.0,49.0,58.0,9.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,5.0,9.8,84.48,0.0,0.0,3a02626a,AG Paunikar,XbJce1yizLUV0OiIiAiehKQJJIiGOCJ,,,,,,324444.0,,,,,,,,,,,,,1,0,1
AJ Finch,90.0,90.0,6.0,2092.0,1635.0,214.0,78.0,88.0,0.0,15.0,5.0,43.0,67.0,1.0,0.0,1.0,11.0,84.0,24.9,127.95,9.35,67.0,b8d490fd,AJ Finch,,,4780.0,,,,5334.0,,,,35381.0,,,,,,,167.0,,29,0,3
AJ Hosein,1.0,1.0,1.0,16.0,10.0,1.0,1.0,16.0,0.0,0.0,1.0,24.0,40.0,1.0,0.0,1.0,40.0,0.0,16.0,160.0,10.0,40.0,4d7f517e,AJ Hosein,,,,,,,530812.0,,,,1010914.0,,,,,,,20593.0,,0,0,0
AJ Turner,6.0,6.0,1.0,24.0,28.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,5.0,4.8,85.71,0.0,0.0,ff1e12a0,AJ Turner,,,5541.0,,,,500268.0,,,,1061396.0,,,da1afe61-4e39-424a-8e96-2f8d6a0ddcc7,,,,1285.0,,0,0,0
AJ Tye,30.0,13.0,4.0,91.0,76.0,6.0,5.0,25.0,0.0,0.0,30.0,684.0,979.0,42.0,1.0,5.0,17.0,9.0,10.11,119.74,8.59,23.31,7c7d63a2,AJ Tye,,,6875.0,,,,459508.0,,,,180608.0,,,,,,,1480.0,,8,0,0
AK Markram,56.0,55.0,9.0,1440.0,1066.0,111.0,57.0,68.0,0.0,10.0,19.0,187.0,274.0,6.0,0.0,2.0,30.0,46.0,31.3,135.08,8.79,45.67,6a26221c,AK Markram,,,,,,,600498.0,,,,1391761.0,,,,,,,1667.0,,32,0,0
AL Menaria,25.0,23.0,2.0,401.0,356.0,24.0,18.0,40.0,0.0,0.0,12.0,110.0,144.0,3.0,0.0,2.0,20.0,21.0,19.1,112.64,7.85,48.0,8291f939,AL Menaria,IeLJQIXebiJ0h1iOUcOJViiyKJiAGCz,,,,,,371150.0,,,,,,,,,,,139.0,,5,0,0
AM Nayar,51.0,50.0,12.0,672.0,577.0,55.0,20.0,45.0,0.0,0.0,19.0,229.0,322.0,9.0,0.0,3.0,13.0,38.0,17.68,116.46,8.44,35.78,a45a5e8d,AM Nayar,bJ0AViJGXLUIQOiIKcehOC1iizJJyie,,,,,,32091.0,,,,,,,,,,,66.0,,13,0,2
AM Rahane,183.0,183.0,18.0,5032.0,4025.0,515.0,123.0,105.0,2.0,33.0,1.0,6.0,5.0,1.0,0.0,1.0,5.0,165.0,30.5,125.02,5.0,5.0,29e95537,AM Rahane,AXeJIbJi1OLGK0UQihJzyiJeOcViIiC,,,,,,277916.0,,,,154043.0,,,,,,,135.0,,77,0,9
AM Salvi,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,150.0,200.0,7.0,0.0,2.0,19.0,0.0,0.0,0.0,8.0,28.57,260fd380,AM Salvi,,,,,,,34264.0,,,,,,,,,,,,,2,0,0
AN Ahmed,17.0,6.0,5.0,36.0,26.0,4.0,1.0,18.0,0.0,0.0,17.0,344.0,498.0,12.0,0.0,2.0,13.0,1.0,36.0,138.46,8.69,41.5,2af1b6d2,AN Ahmed,eJ1iGJciLVeyICUzJibOAX0OiiIQKhJ,,,,,,228430.0,,,,,,,,,,,98.0,,2,0,3
AN Ghosh,2.0,2.0,0.0,7.0,8.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,2.0,3.5,87.5,0.0,0.0,7023d182,AN Ghosh,ebJUzJQGIKehiJ1iLy0CIOiiViAJcOX,,,,,,220435.0,,,,,,,,,,,,,1,0,0
AP Dole,3.0,2.0,0.0,34.0,22.0,3.0,1.0,30.0,0.0,0.0,3.0,66.0,112.0,5.0,0.0,2.0,36.0,2.0,17.0,154.55,10.18,22.4,dbc50253,AP Dole,,,,,,,236694.0,,,,,,,,,,,,,2,0,0
AP Majumdar,4.0,4.0,0.0,87.0,76.0,7.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,4.0,21.75,114.47,0.0,0.0,f4cb4f53,AP Majumdar,iChJXeb0cOyJIIKiii1LGzVJiJQeOUA,,,,,,31750.0,,,,,,,,,,,267.0,,0,0,0
AP Tare,27.0,27.0,3.0,339.0,273.0,40.0,11.0,59.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,24.0,14.12,124.18,0.0,0.0,855a210c,AP Tare,iJXizCJUJiiQiA0yKObVce1eJhLIOIG,,,,,,333904.0,,,,,,,,,,,99.0,,3,6,0
AR Bawne,1.0,1.0,1.0,12.0,12.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,12.0,100.0,0.0,0.0,afe3355a,AR Bawne,IOGUiOzIVAceiLXJJKbJeiCyiQJ1hi0,,,,,,327123.0,,,,,,,,,,,3823.0,,0,0,0
AR Patel,163.0,123.0,36.0,1916.0,1430.0,130.0,94.0,66.0,0.0,3.0,160.0,3321.0,4077.0,128.0,0.0,4.0,21.0,87.0,22.02,133.99,7.37,31.85,2e171977,AR Patel,iIQcOze1JKUiXeCJiGhb0VJiiILyJAO,,,,,,554691.0,,,,923472.0,,,,,,,1113.0,,79,0,5
AS Joseph,22.0,5.0,4.0,27.0,32.0,3.0,0.0,15.0,0.0,0.0,22.0,434.0,691.0,21.0,1.0,6.0,12.0,1.0,27.0,84.38,9.55,32.9,b0946605,AS Joseph,,,,,,,670031.0,,,,1322652.0,,,,,,,3098.0,,4,0,2
AS Rajpoot,29.0,7.0,2.0,26.0,41.0,2.0,1.0,8.0,0.0,0.0,29.0,529.0,814.0,24.0,1.0,5.0,14.0,5.0,5.2,63.41,9.23,33.92,db31895a,AS Rajpoot,ibe1CzIiXKOiQi0yeGJcVJhOJiLIJUA,,,,,,591650.0,,,,1047395.0,,,,,,,1106.0,,4,0,1
AS Raut,17.0,16.0,7.0,194.0,167.0,13.0,7.0,36.0,0.0,0.0,5.0,30.0,44.0,0.0,0.0,0.0,6.0,9.0,21.56,116.17,8.8,0.0,c69a7b5c,AS Raut,ViOiJeIhQCizUAiGJJyKLI0c1eOiJbX,,,,,,230593.0,,,,,,,,,,,,,10,0,1
AS Roy,11.0,7.0,3.0,26.0,25.0,3.0,0.0,13.0,0.0,0.0,10.0,160.0,218.0,6.0,0.0,2.0,19.0,4.0,6.5,104.0,8.17,36.33,e4cdf230,AS Roy,izXKeJhJIUbiOVQLeGAy1CicOi0JIiJ,,,,,,1079839.0,,,,,,,,,,,3774.0,,10,0,1
AS Yadav,6.0,6.0,1.0,49.0,39.0,5.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,5.0,9.8,125.64,0.0,0.0,b9be6507,AS Yadav,,,,,,,36110.0,,,,,,,,,,,,,1,0,1
AT Carey,3.0,3.0,1.0,32.0,29.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,2.0,16.0,110.34,0.0,0.0,69d03465,AT Carey,,,8040.0,,,,326434.0,,,,159709.0,,,,,,,3882.0,,2,0,0
AT Rayudu,185.0,185.0,32.0,4348.0,3409.0,359.0,173.0,100.0,1.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,153.0,28.42,127.54,0.0,0.0,70d205c9,AT Rayudu,AiyXJUOhiJCJiJIceGOLQiVKzb1eI0i,,,,,,33141.0,,,,8931.0,,,,,,,100.0,,64,2,14
AU Rashid,3.0,2.0,0.0,22.0,16.0,2.0,1.0,18.0,0.0,0.0,3.0,60.0,91.0,2.0,0.0,2.0,23.0,2.0,11.0,137.5,9.1,45.5,249d60c9,AU Rashid,,,,,,,244497.0,,,,88341.0,,,,,,,796.0,,0,0,0
AUK Pathan,7.0,7.0,2.0,39.0,23.0,5.0,2.0,14.0,0.0,0.0,3.0,39.0,63.0,0.0,0.0,0.0,14.0,5.0,7.8,169.57,9.69,0.0,3ae3f034,AUK Pathan,hCIJ0OcXIUieVLOJGKQAibeJizJiyi1,,,,,,430401.0,,,,,,,,,,,154.0,,2,0,1
AV Wankhade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
Abdul Basith,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,1.0,100.0,0.0,0.0,cc777ffa,Abdul Basith,,,,,,,1287067.0,,,,,,,,,,,,,0,0,0
Abdul Samad,51.0,51.0,13.0,743.0,490.0,45.0,50.0,45.0,0.0,0.0,6.0,56.0,119.0,2.0,0.0,1.0,9.0,38.0,19.55,151.63,12.75,59.5,8e514b4c,Abdul Samad,hicQGCIJAJiJiVKXbJLyU0Oii1OzIee,,,,,,1175485.0,,,,1949202.0,,,,,,,19352.0,,31,0,0
Abdul Samad,51.0,51.0,13.0,743.0,490.0,45.0,50.0,45.0,0.0,0.0,6.0,56.0,119.0,2.0,0.0,1.0,9.0,38.0,19.55,151.63,12.75,59.5,21dbacff,Abdul Samad (2),,,,,,,1431566.0,,,,,,,,,,,,,31,0,0
Abdul Samad,51.0,51.0,13.0,743.0,490.0,45.0,50.0,45.0,0.0,0.0,6.0,56.0,119.0,2.0,0.0,1.0,9.0,38.0,19.55,151.63,12.75,59.5,8e554b6b,Abdul Samad (3),,,,,,,1073106.0,,,,,,,,,,,,,31,0,0
Abdur Razzak,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,29.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,14.5,0.0,888e32bf,Abdur Razzak,,,,,,,56283.0,,,,44524.0,,,,,,,330.0,2691.0,0,0,0
Abhishek Sharma,77.0,74.0,7.0,1816.0,1114.0,174.0,101.0,141.0,1.0,9.0,32.0,336.0,501.0,11.0,0.0,2.0,4.0,67.0,27.1,163.02,8.95,45.55,f29185a1,Abhishek Sharma,i0IJLJ1GJOycQAVzCeheiUbXiiIOKJi,JiKiGIeIUAV0hzOiiLQJ1XycCJbJOei,,,,,1070183.0,1131614.0,,,1576635.0,,,,,,,3760.0,,25,0,1
Abishek Porel,29.0,29.0,3.0,661.0,441.0,65.0,27.0,65.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,26.0,25.42,149.89,0.0,0.0,ad3b6e95,Abishek Porel,,,,,,,1277545.0,,,,,,,,,,,,,9,0,3
Akash Deep,14.0,5.0,2.0,25.0,14.0,2.0,2.0,17.0,0.0,0.0,14.0,278.0,548.0,10.0,0.0,3.0,45.0,3.0,8.33,178.57,11.83,54.8,0a67aec0,Akash Deep,2018d8851d0bdd9511e8a30e02726df,,,,,,1176959.0,,,,,,,,,,,,,3,0,0
Akash Madhwal,17.0,2.0,2.0,8.0,14.0,0.0,0.0,4.0,0.0,0.0,17.0,352.0,590.0,24.0,1.0,5.0,5.0,0.0,8.0,57.14,10.06,24.58,4bd09374,Akash Madhwal,201913f97eb2daa311e9a30e02726df,,,,,,1206039.0,,,,,,,,,,,,,1,0,1
